parent,child
1924,Sherlock Jr.
1927,Metropolis
1927,Napoleon
1927,Sunrise: A Song of Two Humans
1928,The Passion of Joan of Arc
1931,City Lights
1931,M
1936,Modern Times
1937,Make Way for Tomorrow
1940,The Great Dictator
1941,Citizen Kane
1942,Casablanca
1942,To Be or Not to Be
1943,The Life and Death of Colonel Blimp
1944,Double Indemnity
1945,Brief Encounter
1945,Children of Paradise
1946,A Matter of Life and Death
1946,It's a Wonderful Life
1948,Bicycle Thieves
1948,The Red Shoes
1948,The Treasure of the Sierra Madre
1949,Late Spring
1949,The Third Man
1950,All About Eve
1950,Rashomon
1950,Sunset Boulevard
1950,The Young and the Damned
1951,Ace in the Hole
1951,Early Summer
1952,Ikiru
1952,Singin’ in the Rain
1952,Umberto D.
1953,The Wages of Fear
1953,Tokyo Story
1953,Ugetsu
1954,Rear Window
1954,Sansho the Bailiff
1954,Seven Samurai
1955,Ordet
1955,Pather Panchall
1955,Rififi
1955,The Night of the Hunter
1956,A Man Escaped
1956,Aparajito
1957,12 Angry Men
1957,A Face in the Crowd
1957,Nights of Cabiria
1957,Paths of Glory
1957,Pyaasa
1957,Sweet Smell of Success
1957,The Cranes Are Flying
1957,The Seventh Seal
1957,Throne of Blood
1957,Tokyo Twilight
1957,Wild Strawberries
1957,Witness for the Prosecution
1958,Vertigo
1959,The 400 Blows
1959,The Human Condition I: No Greater Love
1959,The Human Condition II: Road to Eternity
1959,The World of Apu
1960,La Dolce Vita
1960,Le Trou
1960,Macario
1960,Psycho
1960,Rocco and His Brothers
1960,The Apartment
1961,La Notte
1961,The Human Condition III: A Soldier's Prayer
1961,Yojimbo
1962,An Autumn Afternoon
1962,Harakiri
1962,Il Sorpasso
1962,Lawrence of Arabia
1962,The Given Word
1963,8 1/2
1963,High and Low
1963,The Big City
1963,Winter Light
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,I Am Cuba
1964,Woman in the Dunes
1965,Red Beard
1965,The Shop on Main Street
1966,Andrei Rublev
1966,Persona
1966,The Battle of Algiers
1966,"The Good, the Bad and the Ugly"
1966,War and Peace
1966,Who's Afraid of Virginia Woolf?
1967,Le Samouraï
1967,Marketa Lazarová
1967,Samurai Rebellion
1967,The Young Girls of Rochefort
1968,2001: A Space Odyssey
1968,Once Upon a Time in the West
1968,Rosemary’s Baby
1969,Army of Shadows
1969,Funeral Parade of Roses
1969,The Cremator
1969,Z
1971,The Devils
1972,Solaris
1972,The Godfather
1973,Paper Moon
1974,A Woman Under the Influence
1974,Chinatown
1974,Edvard Munch
1974,Scenes from a Marriage
1974,The Godfather: Part II
1974,We All Loved Each Other So Much
1975,Barry Lyndon
1975,Dersu Uzala
1975,Dog Day Afternoon
1975,Jeanne Dielman 23 Quai du Commerce 1080 Bruxelles
1975,Mirror
1975,One Flew Over the Cuckoo's Nest
1976,Canoa: A Shameful Memory
1976,Network
1976,Taxi Driver
1977,A Special Day
1977,Opening Night
1977,Star Wars
1977,The Ascent
1978,Autumn Sonata
1979,Alien
1979,All That Jazz
1979,Apocalypse Now
1979,Stalker
1980,Raging Bull
1980,Star Wars: Episode V - The Empire Strikes Back
1980,The Shining
1981,Raiders of the Lost Ark
1981,Son of the White Mare
1981,They Don’t Wear Black Tie
1982,Fanny and Alexander
1982,The Thing
1983,Nostalgia
1984,Amadeus
1984,Once Upon a Time in America
1984,"Paris, Texas"
1985,Back to the Future
1985,Come and See
1985,Mishima: A Life in Four Chapters
1985,Ran
1985,Tampopo
1986,The Sacrifice
1987,Where Is My Friend’s House?
1987,Wings of Desire
1988,Akira
1988,Cinema Paradiso
1988,Grave of the Fireflies
1988,Landscape in the Mist
1988,My Neighbor Totoro
1989,Do the Right Thing
1990,Close-Up
1990,Goodfellas
1991,A Brighter Summer Day
1991,Raise the Red Lantern
1991,Terminator 2: Judgment Day
1991,The Silence of the Lambs
1992,"Life, and Nothing More…"
1993,Farewell My Concubine
1993,Schindler's List
1994,Chungking Express
1994,Pulp Fiction
1994,Sátántangó
1994,The Lion King
1994,The Shawshank Redemption
1994,Three Colors: Red
1995,Before Sunrise
1995,Fallen Angels
1995,Heat
1995,La Haine
1995,Se7en
1995,Toy Story
1995,Underground
1996,A Moment of Innocence
1996,Fargo
1997,Boogie Nights
1997,Good Will Hunting
1997,Happy Together
1997,Life Is Beautiful
1997,Neon Genesis Evangelion: The End of Evangelion
1997,Perfect Blue
1997,Princess Mononoke
1997,Taste of Cherry
1998,Central Station
1998,Eternity and a Day
1998,Saving Private Ryan
1999,Fight Club
1999,The Iron Giant
2000,A Dog's Will
2000,Eureka
2000,In the Mood for Love
2000,Ritual
2000,Werckmeister Harmonies
2000,Yi Yi
2001,Mulholland Drive
2001,Spirited Away
2001,The Lord of the Rings: The Fellowship of the Ring
2002,City of God
2002,The Lord of the Rings: The Two Towers
2002,The Pianist
2003,Memories of Murder
2003,Oldboy
2003,The Best of Youth
2003,The Lord of the Rings: The Return of the King
2004,Before Sunset
2004,Eternal Sunshine of the Spotless Mind
2004,Howl’s Moving Castle
2004,Nobody Knows
2004,The Weeping Meadow
2006,Children of Men
2006,The Departed
2007,No Country for Old Men
2007,There Will Be Blood
2008,Love Exposure
2008,Still Walking
2008,The Dark Knight
2009,Fantastic Mr. Fox
2009,Inglourious Basterds
2010,Incedies
2010,Inception
2011,A Separation
2011,Once Upon a Time in Anatolia
2012,It's Such a Beautiful Day
2012,The Hunt
2013,Prisoners
2014,Mommy
2014,The Grand Budapest Hotel
2014,Whiplash
2014,Winter Sleep
2015,Mad Max: Fury Road
2015,The Second Mother
2016,Moonlight
2016,The Handmaiden
2016,Your Name
2017,Coco
2017,Get Out
2017,Paddington 2
2018,An Elephant Sitting Still
2018,Shoplifters
2018,Spiderman: Into the Spider-Verse
2019,Little Women
2019,Parasite
2019,Portrait of a Lady on Fire
2020,The Father
2021,Evangelion: 3.0+1.0 Thrice Upon a Time
1920s,1924
1920s,1927
1920s,1927
1920s,1927
1920s,1928
1930s,1931
1930s,1931
1930s,1936
1930s,1937
1940s,1940
1940s,1941
1940s,1942
1940s,1942
1940s,1943
1940s,1944
1940s,1945
1940s,1945
1940s,1946
1940s,1946
1940s,1948
1940s,1948
1940s,1948
1940s,1949
1940s,1949
1950s,1950
1950s,1950
1950s,1950
1950s,1950
1950s,1951
1950s,1951
1950s,1952
1950s,1952
1950s,1952
1950s,1953
1950s,1953
1950s,1953
1950s,1954
1950s,1954
1950s,1954
1950s,1955
1950s,1955
1950s,1955
1950s,1955
1950s,1956
1950s,1956
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1957
1950s,1958
1950s,1959
1950s,1959
1950s,1959
1950s,1959
1960s,1960
1960s,1960
1960s,1960
1960s,1960
1960s,1960
1960s,1960
1960s,1961
1960s,1961
1960s,1961
1960s,1962
1960s,1962
1960s,1962
1960s,1962
1960s,1962
1960s,1963
1960s,1963
1960s,1963
1960s,1963
1960s,1964
1960s,1964
1960s,1964
1960s,1965
1960s,1965
1960s,1966
1960s,1966
1960s,1966
1960s,1966
1960s,1966
1960s,1966
1960s,1967
1960s,1967
1960s,1967
1960s,1967
1960s,1968
1960s,1968
1960s,1968
1960s,1969
1960s,1969
1960s,1969
1960s,1969
1970s,1971
1970s,1972
1970s,1972
1970s,1973
1970s,1974
1970s,1974
1970s,1974
1970s,1974
1970s,1974
1970s,1974
1970s,1975
1970s,1975
1970s,1975
1970s,1975
1970s,1975
1970s,1975
1970s,1976
1970s,1976
1970s,1976
1970s,1977
1970s,1977
1970s,1977
1970s,1977
1970s,1978
1970s,1979
1970s,1979
1970s,1979
1970s,1979
1980s,1980
1980s,1980
1980s,1980
1980s,1981
1980s,1981
1980s,1981
1980s,1982
1980s,1982
1980s,1983
1980s,1984
1980s,1984
1980s,1984
1980s,1985
1980s,1985
1980s,1985
1980s,1985
1980s,1985
1980s,1986
1980s,1987
1980s,1987
1980s,1988
1980s,1988
1980s,1988
1980s,1988
1980s,1988
1980s,1989
1990s,1990
1990s,1990
1990s,1991
1990s,1991
1990s,1991
1990s,1991
1990s,1992
1990s,1993
1990s,1993
1990s,1994
1990s,1994
1990s,1994
1990s,1994
1990s,1994
1990s,1994
1990s,1995
1990s,1995
1990s,1995
1990s,1995
1990s,1995
1990s,1995
1990s,1995
1990s,1996
1990s,1996
1990s,1997
1990s,1997
1990s,1997
1990s,1997
1990s,1997
1990s,1997
1990s,1997
1990s,1997
1990s,1998
1990s,1998
1990s,1998
1990s,1999
1990s,1999
2000s,2000
2000s,2000
2000s,2000
2000s,2000
2000s,2000
2000s,2000
2000s,2001
2000s,2001
2000s,2001
2000s,2002
2000s,2002
2000s,2002
2000s,2003
2000s,2003
2000s,2003
2000s,2003
2000s,2004
2000s,2004
2000s,2004
2000s,2004
2000s,2004
2000s,2006
2000s,2006
2000s,2007
2000s,2007
2000s,2008
2000s,2008
2000s,2008
2000s,2009
2000s,2009
2010s,2010
2010s,2010
2010s,2011
2010s,2011
2010s,2012
2010s,2012
2010s,2013
2010s,2014
2010s,2014
2010s,2014
2010s,2014
2010s,2015
2010s,2015
2010s,2016
2010s,2016
2010s,2016
2010s,2017
2010s,2017
2010s,2017
2010s,2018
2010s,2018
2010s,2018
2010s,2019
2010s,2019
2010s,2019
2020s,2020
2020s,2021
root,1920s
root,1930s
root,1940s
root,1950s
root,1960s
root,1970s
root,1980s
root,1990s
root,2000s
root,2010s
root,2020s
,root
